run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_low_20260813_0034__tm_20260823,cvae_low_20260813_0034,low,20260823,0,existing_validation_v2,completed,completed,medium,40.005,False,0,0.0,0.0,10.954,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0034\20260813_152240,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0034\20260813_152240\metadata.json
cvae_low_20260813_0122__tm_20260821,cvae_low_20260813_0122,low,20260821,2,planned_repeatability_v1,completed,completed,medium,38.675,False,0,0.633,1.274,8.953,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260821\20260813_165404,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260821\20260813_165404\metadata.json
cvae_low_20260813_0122__tm_20260822,cvae_low_20260813_0122,low,20260822,0,existing_validation_v2,completed,completed,low,0.212,True,0,8.847,31.499,8.723,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0122\20260813_152007,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0122\20260813_152007\metadata.json
cvae_low_20260813_0122__tm_20260823,cvae_low_20260813_0122,low,20260823,1,planned_repeatability_v1,completed,completed,medium,40.212,False,0,0.0,0.0,10.075,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260823\20260813_164910,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260823\20260813_164910\metadata.json
cvae_medium_20260813_0061__tm_20260821,cvae_medium_20260813_0061,medium,20260821,2,planned_repeatability_v1,completed,completed,medium,42.989,True,0,0.0,0.0,5.727,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260821\20260813_165428,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260821\20260813_165428\metadata.json
cvae_medium_20260813_0061__tm_20260822,cvae_medium_20260813_0061,medium,20260822,0,existing_validation_v2,completed,completed,low,2.787,False,0,6.873,22.17,5.811,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0061\20260813_151943,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0061\20260813_151943\metadata.json
cvae_medium_20260813_0061__tm_20260823,cvae_medium_20260813_0061,medium,20260823,1,planned_repeatability_v1,completed,completed,medium,40.892,True,0,0.619,1.276,6.716,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260823\20260813_164846,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260823\20260813_164846\metadata.json
cvae_medium_20260813_0082__tm_20260821,cvae_medium_20260813_0082,medium,20260821,0,existing_validation_v2,completed,completed,medium,43.722,True,0,0.0,0.0,6.115,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0082\20260813_151909,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0082\20260813_151909\metadata.json
cvae_medium_20260813_0082__tm_20260822,cvae_medium_20260813_0082,medium,20260822,1,planned_repeatability_v1,completed,completed,low,3.722,False,0,7.146,23.586,6.321,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260822\20260813_164812,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260822\20260813_164812\metadata.json
cvae_medium_20260813_0082__tm_20260823,cvae_medium_20260813_0082,medium,20260823,2,planned_repeatability_v1,completed,completed,medium,41.799,True,0,0.657,1.374,6.698,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260823\20260813_165219,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260823\20260813_165219\metadata.json
cvae_medium_20260813_0103__tm_20260821,cvae_medium_20260813_0103,medium,20260821,1,planned_repeatability_v1,completed,completed,medium,43.412,True,0,0.0,0.0,6.344,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0103__tm_20260821\20260813_165056,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0103__tm_20260821\20260813_165056\metadata.json
cvae_medium_20260813_0103__tm_20260822,cvae_medium_20260813_0103,medium,20260822,2,planned_repeatability_v1,completed,completed,low,3.412,False,0,6.672,21.479,6.482,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0103__tm_20260822\20260813_165614,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0103__tm_20260822\20260813_165614\metadata.json
cvae_medium_20260813_0103__tm_20260823,cvae_medium_20260813_0103,medium,20260823,0,existing_validation_v2,completed,completed,medium,42.304,True,0,0.594,1.204,6.532,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0103\20260813_152153,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_medium_20260813_0103\20260813_152153\metadata.json
