run_order,part_index,repeat_round,source_block_index,run_id,sample_id,target_risk_level,traffic_manager_seed,source,config_path,expected_run_root
14,4,2,2,cvae_medium_20260813_0061__tm_20260822__route_v4,cvae_medium_20260813_0061,medium,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0061__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0061__tm_20260822__route_v4
15,4,1,1,cvae_low_20260813_0001__tm_20260821__route_v4,cvae_low_20260813_0001,low,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0001__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0001__tm_20260821__route_v4
16,4,1,1,cvae_critical_20260813_0046__tm_20260821__route_v4,cvae_critical_20260813_0046,critical,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0046__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260821__route_v4
17,5,3,3,cvae_critical_20260813_0030__tm_20260823__route_v4,cvae_critical_20260813_0030,critical,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0030__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260823__route_v4
18,5,3,3,cvae_low_20260813_0034__tm_20260823__route_v4,cvae_low_20260813_0034,low,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0034__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0034__tm_20260823__route_v4
19,5,2,2,cvae_high_20260813_0074__tm_20260822__route_v4,cvae_high_20260813_0074,high,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0074__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0074__tm_20260822__route_v4
20,5,1,1,cvae_medium_20260813_0082__tm_20260821__route_v4,cvae_medium_20260813_0082,medium,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0082__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0082__tm_20260821__route_v4
21,6,2,3,cvae_high_20260813_0043__tm_20260822__route_v4,cvae_high_20260813_0043,high,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0043__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0043__tm_20260822__route_v4
22,6,3,1,cvae_critical_20260813_0046__tm_20260823__route_v4,cvae_critical_20260813_0046,critical,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0046__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260823__route_v4
23,6,3,1,cvae_low_20260813_0001__tm_20260823__route_v4,cvae_low_20260813_0001,low,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0001__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0001__tm_20260823__route_v4
24,6,1,2,cvae_medium_20260813_0061__tm_20260821__route_v4,cvae_medium_20260813_0061,medium,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0061__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0061__tm_20260821__route_v4
25,7,2,3,cvae_critical_20260813_0030__tm_20260822__route_v4,cvae_critical_20260813_0030,critical,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0030__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260822__route_v4
26,7,3,1,cvae_medium_20260813_0082__tm_20260823__route_v4,cvae_medium_20260813_0082,medium,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0082__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0082__tm_20260823__route_v4
27,7,1,2,cvae_high_20260813_0074__tm_20260821__route_v4,cvae_high_20260813_0074,high,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0074__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0074__tm_20260821__route_v4
28,7,2,3,cvae_low_20260813_0034__tm_20260822__route_v4,cvae_low_20260813_0034,low,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0034__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0034__tm_20260822__route_v4
29,8,1,2,cvae_critical_20260813_0058__tm_20260821__route_v4,cvae_critical_20260813_0058,critical,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0058__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260821__route_v4
30,8,2,3,cvae_medium_20260813_0103__tm_20260822__route_v4,cvae_medium_20260813_0103,medium,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0103__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0103__tm_20260822__route_v4
31,8,3,1,cvae_high_20260813_0033__tm_20260823__route_v4,cvae_high_20260813_0033,high,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0033__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0033__tm_20260823__route_v4
32,8,1,2,cvae_low_20260813_0122__tm_20260821__route_v4,cvae_low_20260813_0122,low,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0122__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0122__tm_20260821__route_v4
33,9,2,2,cvae_critical_20260813_0058__tm_20260822__route_v4,cvae_critical_20260813_0058,critical,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0058__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260822__route_v4
34,9,1,1,cvae_high_20260813_0033__tm_20260821__route_v4,cvae_high_20260813_0033,high,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0033__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0033__tm_20260821__route_v4
35,9,3,3,cvae_medium_20260813_0103__tm_20260823__route_v4,cvae_medium_20260813_0103,medium,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0103__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0103__tm_20260823__route_v4
36,9,2,2,cvae_low_20260813_0122__tm_20260822__route_v4,cvae_low_20260813_0122,low,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0122__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0122__tm_20260822__route_v4
