model,grouping,generator,target_risk_level,collision_status,sample_count,observed_score_mean,predicted_score_mean,mean_bias,mae,rmse_of_mean_prediction,mean_prediction_std,mean_rank_std,mean_top_k_frequency
ridge,generator,cvae,all,all,12,36.097500000000004,39.9585560216758,3.86105602167579,5.270921639607438,5.697815421404566,3.180088904791532,2.233657922956516,0.29833333333333334
ridge,generator,gmm,all,all,12,45.34147222222222,39.79536367882207,-5.546108543400149,15.57164215314675,19.378736759444227,4.5865432699884146,3.226344804673126,0.20833333333333334
ridge,generator,lhs,all,all,12,38.75952777777778,38.30460850448918,-0.4549192732886016,7.211755086341637,7.1133679871660975,4.921711815139862,3.1039383238361444,0.24333333333333332
ridge,target_risk_level,all,critical,all,9,56.77425925925926,55.906704130899556,-0.8675551283597096,15.114027012231523,18.781074400247817,3.698394435851794,2.3802201998841586,0.7577777777777778
ridge,target_risk_level,all,high,all,9,49.31533333333333,46.04892898226059,-3.266404351072743,9.714227102350309,12.79236553936923,4.984036135138966,3.9046377343139462,0.21555555555555558
ridge,target_risk_level,all,low,all,9,24.761481481481482,20.940917282885366,-3.8205641985961165,5.830400983550712,6.292619789324887,4.052522882198892,2.0046491570351943,0.0
ridge,target_risk_level,all,medium,all,9,29.413592592592593,34.51482054393721,5.101227951344621,6.747103407328558,7.4496278599630985,4.182838533370091,3.1290809773877495,0.026666666666666665
ridge,collision_status,all,all,collision,3,81.24866666666667,46.34633181747285,-34.90233484919381,34.90233484919381,35.20177771874251,2.2657499162740122,2.3490772861780767,0.12
ridge,collision_status,all,all,no_collision,33,36.322303030303026,38.71707100022502,2.3947679699219964,7.0286309697444995,7.356116921536819,4.40796600394593,2.900607901789552,0.26181818181818184
ridge,generator__target_risk_level,cvae,critical,all,3,49.351333333333336,57.622491364057076,8.27115803072374,8.717376507339498,8.605545748812204,4.114026345692764,2.3021154201488305,0.94
ridge,generator__target_risk_level,cvae,high,all,3,43.08555555555555,46.611359511836035,3.525803956280472,4.0299895828809635,4.113765957712017,2.698581842637134,2.5091508664981785,0.25333333333333335
ridge,generator__target_risk_level,cvae,low,all,3,24.461000000000002,23.44769206802029,-1.0133079319797051,3.538616158902613,3.729142601537429,2.753892786185496,1.8069839949354136,0.0
ridge,generator__target_risk_level,cvae,medium,all,3,27.492111111111114,32.15268114278977,4.660570031678655,4.797704309306678,4.997540372348316,3.153854644650734,2.3163814102436415,0.0
ridge,generator__target_risk_level,gmm,critical,all,3,70.4328888888889,52.06545777454931,-18.36743111433958,28.262105250747556,30.162534425953694,2.0933996739763,2.0601325434768305,0.4533333333333333
