model,repeat_index,split_seed,mae,rmse,r2,spearman,mean_bias,high_or_critical_recall,high_or_critical_precision,top_k_observed_recall,target_mean_ordering_strict
ridge,13,20260828,9.971082302121935,14.350999266791264,0.20156051691270638,0.7534105534105534,0.8394705746243796,0.125,0.125,0.3333333333333333,True
random_forest,14,20260829,5.304589376545435,9.940546967203355,0.616912233448231,0.9137709137709138,-0.19280457713377291,0.625,0.5,0.5555555555555556,True
ridge,14,20260829,8.271707857089492,11.979545356028192,0.4436368047913618,0.8404118404118405,-0.9395347072181508,0.375,0.42857142857142855,0.5555555555555556,True
random_forest,15,20260830,5.930716499321919,10.28241821537234,0.590109126945939,0.8996138996138996,0.2582418629070655,0.75,0.5,0.5555555555555556,True
ridge,15,20260830,8.78025252709579,12.277395716095869,0.41562688385623114,0.8064350064350065,-0.503198440213763,0.25,0.2222222222222222,0.3333333333333333,True
random_forest,16,20260831,5.733671668787741,9.942927034892884,0.6167287658841883,0.9238095238095239,0.4414902808497151,0.625,0.5555555555555556,0.6666666666666666,True
ridge,16,20260831,8.653859358072147,12.442005104755644,0.3998518513841014,0.8625482625482626,-0.5766916684733331,0.5,0.4,0.4444444444444444,True
random_forest,17,20260832,5.766048909256817,10.210087084704616,0.595855555750264,0.8839124839124839,0.1512609248358873,0.75,0.46153846153846156,0.5555555555555556,True
ridge,17,20260832,8.148010947912445,12.129962513141443,0.4295775130793773,0.8198198198198199,-1.5012702793970663,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,18,20260833,5.962736406106924,10.153159996625599,0.600349665982415,0.8898326898326899,0.5341443579645687,0.75,0.46153846153846156,0.5555555555555556,True
ridge,18,20260833,11.645952986268087,15.123198334288121,0.11332387246855125,0.7564993564993566,0.31449673308414827,0.625,0.35714285714285715,0.3333333333333333,True
random_forest,19,20260834,5.4607219478738,9.850230602122778,0.6238418152918646,0.9148005148005149,0.1333151141730342,0.75,0.6,0.6666666666666666,True
ridge,19,20260834,10.329647506076842,13.614644301171229,0.28139486040221906,0.8074646074646075,-3.231199862478177,0.375,0.5,0.4444444444444444,True
random_forest,20,20260835,5.629104142257008,10.14976201343999,0.6006171251521908,0.9137709137709138,0.3949986717004694,0.75,0.5,0.6666666666666666,True
ridge,20,20260835,8.36588490725913,12.407767671032174,0.4031502363843982,0.8615186615186615,-1.4858342165862763,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,21,20260836,5.173858938082322,9.422076697522154,0.6558316017629555,0.9093951093951094,-0.08192614506619379,0.75,0.5,0.6666666666666666,True
ridge,21,20260836,10.143563293526453,13.118019182079502,0.3328642045132788,0.8151866151866152,-0.2776379176150271,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,22,20260837,5.838216512259941,10.278920750542527,0.5903879203335572,0.9042471042471043,0.4784787056020962,0.75,0.5,0.5555555555555556,True
ridge,22,20260837,10.324273510339967,14.685361586296375,0.16392158987349115,0.745945945945946,-0.16900656917687693,0.375,0.3,0.3333333333333333,True
random_forest,23,20260838,5.891302625450938,10.228410924063498,0.594403634127199,0.9006435006435008,0.5315245629052912,0.75,0.5,0.5555555555555556,True
ridge,23,20260838,7.542733958891871,11.84919057717739,0.4556790005263943,0.8674388674388674,-1.151605908829218,0.375,0.375,0.5555555555555556,True
random_forest,24,20260839,5.41594076196154,9.887259768016637,0.6210083781610201,0.8962676962676964,-0.1600082469391955,0.75,0.5,0.5555555555555556,True
ridge,24,20260839,8.660347530085172,12.234396182592114,0.4197130547428636,0.8077220077220078,-0.38826389131381245,0.5,0.4,0.5555555555555556,True
random_forest,25,20260840,6.114323599145113,10.634183660024195,0.5615843652305554,0.9091377091377092,0.4236118588207867,0.75,0.5,0.5555555555555556,True
ridge,25,20260840,9.241057242271397,12.886009080737697,0.3562539363942233,0.8478764478764479,-1.2938272855770576,0.375,0.375,0.5555555555555556,True
random_forest,26,20260841,5.761016128196652,10.27135699589336,0.5909905254977159,0.898841698841699,0.068879250413074,0.75,0.46153846153846156,0.5555555555555556,True
ridge,26,20260841,10.054299011354708,12.922687786660626,0.3525840062157162,0.797940797940798,-0.9098630862289068,0.375,0.2727272727272727,0.4444444444444444,True
random_forest,27,20260842,6.016755388227513,10.188664025805352,0.5975497483531116,0.9070785070785071,0.7550287518861447,0.75,0.5454545454545454,0.5555555555555556,True
ridge,27,20260842,9.53296380386822,13.47035379317719,0.29654596484879747,0.8211068211068212,-2.775580900585771,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,28,20260843,5.7056934786277695,10.186293870156788,0.5977369679506936,0.9006435006435008,0.17341493779394668,0.75,0.5,0.6666666666666666,True
ridge,28,20260843,9.577145589767856,12.899369785817802,0.35491832346403684,0.8061776061776061,-0.9191176810847114,0.5,0.4,0.4444444444444444,True
random_forest,29,20260844,5.268226980040711,9.79171129335616,0.6282979809755111,0.9099099099099099,-0.04219958896282784,0.75,0.5,0.5555555555555556,True
ridge,29,20260844,9.934574221786011,13.90858788090292,0.2500301607612415,0.8102960102960104,-0.07271335825133285,0.625,0.45454545454545453,0.5555555555555556,True
random_forest,30,20260845,5.455386639978932,9.763279642213586,0.630453428335134,0.8723294723294724,0.15960789252644197,0.875,0.5,0.5555555555555556,True
ridge,30,20260845,9.299733590032437,12.76444936551413,0.3683421611407638,0.753925353925354,-1.240588709853161,0.375,0.2727272727272727,0.2222222222222222,True
random_forest,31,20260846,5.354330818466859,9.9523197612248,0.6160042986970775,0.9178893178893179,-0.07497834677908571,0.75,0.5454545454545454,0.5555555555555556,True
ridge,31,20260846,8.52411901713135,12.376488081460447,0.4061557219617189,0.8808236808236809,-1.0477009539378848,0.5,0.4444444444444444,0.5555555555555556,True
random_forest,32,20260847,5.481234953348511,9.942100918550011,0.6167924520553836,0.8921492921492923,-0.11792296691897637,0.75,0.46153846153846156,0.5555555555555556,True
