model,sample_id,generator,target_risk_level,observed_risk_score,simulation_score_std,collision_status,collision_event_total,collision_run_rate,predicted_score_mean,predicted_score_std,predicted_score_p05,predicted_score_p95,mean_error,mean_absolute_error,actual_rank,predicted_rank_mean,predicted_rank_std,predicted_rank_min,predicted_rank_max,top_k,top_k_selection_frequency
random_forest,gmm_high_20260813_0005,gmm,high,44.719,0.0866429454716304,no_collision,0,0.0,46.45674836161375,1.3127683783863051,44.20952261847439,48.529985518915346,1.7377483616137441,1.8378532066049298,15.0,15.7,1.3286482312670196,13.0,18.0,9,0.0
random_forest,gmm_high_20260813_0049,gmm,high,44.082,0.4966558164362926,no_collision,0,0.0,51.61477674373495,2.310070130607709,48.141519507545624,55.33831443736773,7.532776743734946,7.532776743734946,16.0,9.82,2.608385222582691,5.0,14.0,9,0.42
random_forest,gmm_high_20260813_0079,gmm,high,78.97833333333332,0.0662746809372427,collision,18,1.0,46.63211171875341,1.1168754385858475,45.46944497429454,48.664443485978836,-32.346221614579925,32.346221614579925,3.0,15.52,1.2493263490900255,13.0,18.0,9,0.0
random_forest,gmm_low_20260813_0012,gmm,low,24.410666666666668,0.8785672047904666,no_collision,0,0.0,25.301130699010752,0.1456998393728206,25.093324662676377,25.540637732716068,0.8904640323440818,0.8904640323440818,35.0,32.22,1.3138197931906765,29.0,34.0,9,0.0
random_forest,gmm_low_20260813_0036,gmm,low,25.197,0.7352904188142261,no_collision,0,0.0,25.48148811680377,0.21162524049102757,25.153138772619066,25.86970490044091,0.28448811680376834,0.30269062108627437,30.0,30.76,1.672832133520508,28.0,34.0,9,0.0
random_forest,gmm_low_20260813_0072,gmm,low,24.93733333333333,0.4705532205110649,no_collision,0,0.0,25.52465196174043,0.1924712462352642,25.214006257231052,25.80913560837743,0.5873186284070976,0.5873186284070976,31.0,30.4,1.5907898179514348,28.0,34.0,9,0.0
random_forest,gmm_medium_20260813_0010,gmm,medium,28.833666666666662,0.3643080198586539,no_collision,0,0.0,31.863032921515146,0.83281245097088,30.630950103902116,33.037511539175476,3.0293662548484837,3.0293662548484837,22.0,20.62,0.752953368748825,19.0,23.0,9,0.0
random_forest,gmm_medium_20260813_0077,gmm,medium,28.415,0.0849646985518115,no_collision,0,0.0,29.666227043609098,0.7178129070584868,28.766176634016755,30.614147323655185,1.2512270436090978,1.2525820114397856,24.0,24.08,1.35285035448591,21.0,27.0,9,0.0
random_forest,gmm_medium_20260813_0102,gmm,medium,33.226,0.8911436472309061,no_collision,0,0.0,30.923041680541928,0.6763972817617223,29.78907609781947,31.95622302903436,-2.302958319458072,2.302958319458072,19.0,21.96,0.9026039427960751,20.0,25.0,9,0.0
random_forest,lhs_critical_20260813_0036,lhs,critical,52.37566666666667,0.0468757222166594,no_collision,0,0.0,56.165238597621446,3.89101816994753,50.46169299391532,61.95635888924162,3.7895719309547804,4.179177114729031,5.0,5.86,3.1364219832705644,1.0,12.0,9,0.88
random_forest,lhs_critical_20260813_0055,lhs,critical,50.272,0.311812443625973,no_collision,0,0.0,56.715444130164336,3.1040726728009647,51.113051633002684,61.50646685390207,6.443444130164338,6.443444130164338,8.0,4.94,2.427815008250364,1.0,11.0,9,0.94
random_forest,lhs_critical_20260813_0101,lhs,critical,48.968,1.42136694769507,no_collision,0,0.0,58.81760316486131,3.6201798534429543,54.644033473655206,65.91868253840391,9.849603164861298,9.849603164861298,9.0,3.88,2.1536869194334574,1.0,8.0,9,1.0
random_forest,lhs_high_20260813_0024,lhs,high,50.318666666666665,0.0690386365257432,no_collision,0,0.0,47.78735904264789,2.9797756146141205,43.56356275006615,52.14709772579364,-2.531307624018769,3.021570479356269,7.0,14.2,2.934662654882019,8.0,18.0,9,0.02
random_forest,lhs_high_20260813_0077,lhs,high,44.736,0.1158576713040603,no_collision,0,0.0,48.09502245586098,2.2771997638740165,44.760114625661366,51.271694289043204,3.3590224558609787,3.3973289836740306,14.0,14.1,2.3754698783308417,9.0,18.0,9,0.02
random_forest,lhs_high_20260813_0106,lhs,high,51.74733333333334,0.0915113836270293,no_collision,0,0.0,50.382995599965525,2.246607254151566,46.894506648544976,53.44796988392857,-1.3643377333678177,2.0766337027328894,6.0,11.64,2.4641097245646093,6.0,16.0,9,0.18
random_forest,lhs_low_20260813_0010,lhs,low,25.866333333333333,0.1154180806170894,no_collision,0,0.0,25.731055940420084,0.19551946467869172,25.42045888227515,26.015483296671082,-0.1352773929132482,0.18483683241301194,28.0,29.02,1.3013336957733408,28.0,34.0,9,0.0
random_forest,lhs_low_20260813_0077,lhs,low,24.584666666666667,0.4786902269039276,no_collision,0,0.0,25.65127819990221,0.31105426436768135,25.247298264638463,26.29559093068783,1.0666115332355433,1.0666115332355433,32.0,29.64,1.3666583706401598,28.0,33.0,9,0.0
random_forest,lhs_low_20260813_0128,lhs,low,24.47433333333333,0.0110151410945713,no_collision,0,0.0,25.035821220165953,0.33621162111315794,24.623366264484144,25.710952391269842,0.5614878868326207,0.5614878868326207,33.0,34.06,2.093819866333554,28.0,36.0,9,0.0
random_forest,lhs_medium_20260813_0026,lhs,medium,28.41333333333333,0.1238399504737187,no_collision,0,0.0,29.4877401070651,0.5721390498438405,28.68241782546296,30.35718421269843,1.0744067737317677,1.0744067737317677,25.0,24.64,1.289834667462367,22.0,27.0,9,0.0
random_forest,lhs_medium_20260813_0041,lhs,medium,30.77,0.587091985978347,no_collision,0,0.0,32.041342474862915,1.0004954990844466,30.5354093338404,34.02129751891536,1.2713424748629165,1.3284754933205074,21.0,20.52,0.8628382211738,19.0,22.0,9,0.0
random_forest,lhs_medium_20260813_0110,lhs,medium,32.588,0.1535284989830867,no_collision,0,0.0,33.78922979640691,0.9098766106151991,32.5931334671296,35.31868440266753,1.2012297964069056,1.236004907235832,20.0,19.16,0.42185208743524005,19.0,21.0,9,0.0
ridge,cvae_critical_20260813_0030,cvae,critical,46.97633333333333,0.8245619038818934,no_collision,0,0.0,56.14116760781887,3.7864137442586845,50.24320855954976,61.705451771291926,9.164834274485544,9.164834274485544,11.0,5.9,1.9820624179302297,2.0,11.0,9,0.94
ridge,cvae_critical_20260813_0042,cvae,critical,48.01533333333333,1.1302797588797793,no_collision,0,0.0,58.64430130869767,3.3297314145045585,54.12619618015205,63.3055563832073,10.62896797536434,10.62896797536434,10.0,4.6,1.7842851423995423,1.0,9.0,9,1.0
ridge,cvae_critical_20260813_0046,cvae,critical,53.062333333333335,0.0822030007562588,no_collision,0,0.0,58.082005175654665,5.22593387831505,49.64481340130068,64.20151773367022,5.019671842321339,6.358327272168612,4.0,5.24,3.1399987001167204,1.0,13.0,9,0.88
ridge,cvae_high_20260813_0033,cvae,high,45.74666666666666,0.4374669511326931,no_collision,0,0.0,52.26254135119153,2.7386700472154293,47.143876038534984,56.50112001768593,6.515874684524858,6.515874684524858,13.0,8.34,2.3871253312171894,3.0,15.0,9,0.74
ridge,cvae_high_20260813_0043,cvae,high,40.77,0.775626843269367,no_collision,0,0.0,42.62112170202956,2.6698624348557187,37.5147438440455,46.7226304508321,1.8511217020295516,2.733489220733082,18.0,16.54,2.5169628604364283,12.0,22.0,9,0.0
ridge,cvae_high_20260813_0067,cvae,high,42.74,0.0251197133741619,no_collision,0,0.0,44.950415482287006,2.6872130458402537,39.914515444979514,49.368965756953976,2.210415482287006,2.8406048433849502,17.0,14.34,2.623364407840918,7.0,20.0,9,0.02
ridge,cvae_low_20260813_0001,cvae,low,25.207666666666668,1.2082319037888931,no_collision,0,0.0,28.6401054722946,2.9575213583373063,24.782327762010677,33.814796934194874,3.4324388056279327,3.6773073204497315,29.0,26.86,2.2039852586639874,21.0,32.0,9,0.0
ridge,cvae_low_20260813_0034,cvae,low,24.413666666666668,0.4834297604961187,no_collision,0,0.0,19.05709169366781,3.8326154861028283,11.516387922113708,24.042178529473816,-5.356574972998856,5.416544728780252,34.0,32.62,1.8282365764834256,29.0,36.0,9,0.0
ridge,cvae_low_20260813_0115,cvae,low,23.761666666666667,0.3309159006958317,no_collision,0,0.0,22.645879038098474,1.4715415141163524,20.2330835967364,25.22500934392063,-1.1157876285681925,1.521996427477855,36.0,30.9,1.3887301496588274,28.0,34.0,9,0.0
ridge,cvae_medium_20260813_0061,cvae,medium,26.52133333333333,0.9443571005363032,no_collision,0,0.0,29.93425290106547,2.235755865301361,26.556669652326676,33.11602718088252,3.412919567732141,3.4522635626240663,27.0,26.0,2.0203050891044216,22.0,31.0,9,0.0
ridge,cvae_medium_20260813_0082,cvae,medium,28.422666666666668,1.1825702234257938,no_collision,0,0.0,31.779817428584103,3.04850534524846,27.387660987853778,36.81877718362283,3.357150761917436,3.7069455287729367,23.0,24.8,2.0701966780270626,20.0,30.0,9,0.0
ridge,cvae_medium_20260813_0103,cvae,medium,27.532333333333334,0.1868618027670015,no_collision,0,0.0,34.74397309871972,4.177302723402382,28.41296679926196,41.4369521291401,7.211639765386389,7.233903836523029,26.0,22.46,2.8586424635994403,16.0,28.0,9,0.0
ridge,gmm_critical_20260813_0004,gmm,critical,85.42566666666667,0.0126622799421471,collision,18,1.0,44.843377002963216,2.789680595258048,41.06020522445598,49.5444630386223,-40.582289663703456,40.582289663703456,1.0,14.42,3.1434415041155,10.0,22.0,9,0.0
ridge,gmm_critical_20260813_0067,gmm,critical,79.342,0.2217363299055828,collision,3,1.0,49.97998511607274,1.8978813511869381,46.665452347991106,52.857458707051784,-29.36201488392726,29.36201488392726,2.0,9.88,1.7686614332048185,6.0,14.0,9,0.36
ridge,gmm_critical_20260813_0072,gmm,critical,46.531,0.1163486140871474,no_collision,0,0.0,61.37301120461197,1.592637075483914,58.75277589470679,64.2656770952351,14.842011204611968,14.842011204611968,12.0,3.06,1.2682946931101733,1.0,6.0,9,1.0
ridge,gmm_high_20260813_0005,gmm,high,44.719,0.0866429454716304,no_collision,0,0.0,47.090401916378084,5.974820474855425,37.68175563328309,54.64168466718091,2.3714019163780904,6.068397937951054,15.0,12.44,4.625395735965272,6.0,21.0,9,0.38
ridge,gmm_high_20260813_0049,gmm,high,44.082,0.4966558164362926,no_collision,0,0.0,53.226308602249425,12.669738502218504,37.2479452960516,70.10545385144694,9.144308602249412,12.404165022796747,16.0,9.26,7.750734000791177,1.0,21.0,9,0.52
ridge,gmm_high_20260813_0079,gmm,high,78.97833333333332,0.0662746809372427,collision,18,1.0,44.21563333338261,2.1096878023770507,40.891022883079536,47.55011179130141,-34.762699999950705,34.762699999950705,3.0,14.82,2.1351289212139113,10.0,19.0,9,0.0
ridge,gmm_low_20260813_0012,gmm,low,24.410666666666668,0.8785672047904666,no_collision,0,0.0,22.153989513582474,4.255057522863944,15.78422015400767,29.235697808257893,-2.256677153084193,3.829725305597952,35.0,30.92,2.439805947452479,25.0,36.0,9,0.0
ridge,gmm_low_20260813_0036,gmm,low,25.197,0.7352904188142261,no_collision,0,0.0,21.50286677720749,4.8271294688283195,13.720681681501626,29.23275637766453,-3.6941332227925043,4.875277685307019,30.0,31.56,2.5885146635213996,25.0,36.0,9,0.0
ridge,gmm_low_20260813_0072,gmm,low,24.93733333333333,0.4705532205110649,no_collision,0,0.0,14.73439524545856,5.064014209657222,7.558124327462506,23.767595422431093,-10.20293808787477,10.280809389859577,31.0,34.5,1.7871422861709718,30.0,36.0,9,0.0
ridge,gmm_medium_20260813_0010,gmm,medium,28.833666666666662,0.3643080198586539,no_collision,0,0.0,37.218040609811545,3.460057647082188,32.09797495969446,43.402964670041584,8.384373943144881,8.384373943144881,22.0,20.52,2.666802717617837,14.0,25.0,9,0.0
ridge,gmm_medium_20260813_0077,gmm,medium,28.415,0.0849646985518115,no_collision,0,0.0,45.08477167529073,5.590831670496588,37.666249851524256,53.33352263108114,16.669771675290733,16.669771675290733,24.0,14.3,4.84136091509444,6.0,24.0,9,0.24
ridge,gmm_medium_20260813_0102,gmm,medium,33.226,0.8911436472309061,no_collision,0,0.0,36.12158314885599,4.8069829195528335,28.093737322413695,43.14603937080274,2.8955831488560007,4.798169125619658,19.0,21.24,3.700854837819533,14.0,30.0,9,0.0
ridge,lhs_critical_20260813_0036,lhs,critical,52.37566666666667,0.0468757222166594,no_collision,0,0.0,57.180137681050894,6.110168552112924,48.699607023703834,65.2919734846881,4.804471014384221,6.476518220227733,5.0,5.7,3.6658935486732402,1.0,12.0,9,0.78
ridge,lhs_critical_20260813_0055,lhs,critical,50.272,0.311812443625973,no_collision,0,0.0,54.4332408488564,4.53950865428887,47.14817894058471,60.71187251238127,4.1612408488564,5.096168383225277,8.0,7.0,3.1233158727250636,1.0,16.0,9,0.86
ridge,lhs_critical_20260813_0101,lhs,critical,48.968,1.42136694769507,no_collision,0,0.0,62.48311123236953,4.013594657257158,57.360990700708996,68.9547342139146,13.51511123236952,13.51511123236952,9.0,2.76,1.5460284866821352,1.0,6.0,9,1.0
ridge,lhs_high_20260813_0024,lhs,high,50.318666666666665,0.0690386365257432,no_collision,0,0.0,43.19258753514985,4.985869165907395,36.026714896216234,50.814495038449046,-7.126079131516814,7.433437804613524,7.0,15.72,3.875827758857007,9.0,23.0,9,0.02
ridge,lhs_high_20260813_0077,lhs,high,44.736,0.1158576713040603,no_collision,0,0.0,43.64075154352502,6.6548846667876385,34.16942155119438,53.05204482158845,-1.0952484564749752,6.070100860104584,14.0,15.18,5.579444782559699,6.0,23.0,9,0.22
ridge,lhs_high_20260813_0106,lhs,high,51.74733333333334,0.0915113836270293,no_collision,0,0.0,43.240599374152225,4.365579076193283,36.85688919781342,50.542585065436946,-8.50673395918111,8.599273547093281,6.0,15.8,3.6477558099439156,7.0,22.0,9,0.04
ridge,lhs_low_20260813_0010,lhs,low,25.866333333333333,0.1154180806170894,no_collision,0,0.0,15.892461236350705,5.598993909661557,5.610280529270158,23.870126717504245,-9.973872096982625,9.973872096982625,28.0,34.02,1.8788837328671122,29.0,36.0,9,0.0
ridge,lhs_low_20260813_0077,lhs,low,24.584666666666667,0.4786902269039276,no_collision,0,0.0,28.249872013183367,3.3993078005901696,23.25646143425186,34.103987445743805,3.6652053465167014,4.01533712029285,32.0,27.1,2.5414924106653136,20.0,32.0,9,0.0
ridge,lhs_low_20260813_0128,lhs,low,24.47433333333333,0.0110151410945713,no_collision,0,0.0,15.591594556124782,5.0665246696323365,4.8872352056339805,21.39139366924769,-8.882738777208546,8.882738777208546,33.0,34.4,1.385051387833237,31.0,36.0,9,0.0
ridge,lhs_medium_20260813_0026,lhs,medium,28.41333333333333,0.1238399504737187,no_collision,0,0.0,32.43590604457447,3.442200854044398,28.021421632523083,38.475365443221044,4.022572711241142,4.106335779951699,25.0,24.28,2.587568396020023,18.0,28.0,9,0.0
ridge,lhs_medium_20260813_0041,lhs,medium,30.77,0.587091985978347,no_collision,0,0.0,25.65926965396945,4.9726957679772665,17.751718810827583,33.67433886131553,-5.110730346030549,5.8045214498353905,21.0,28.58,2.928327515975002,23.0,34.0,9,0.0
ridge,lhs_medium_20260813_0110,lhs,medium,32.588,0.1535284989830867,no_collision,0,0.0,37.655770334563414,5.911214007225337,26.84672118890116,47.24627514024856,5.0677703345634155,6.567645764194627,20.0,19.94,4.487670183231984,12.0,31.0,9,0.0
